Year,City host,Country host,Gold,Silver,Bronze
2024,Paris, France, United States, France, Serbia
2020,Tokyo, Japan, United States, France, Australia
2016,Rio de Janeiro, Brazil, United States, Serbia, Spain
2012,London, United Kingdom, United States, Spain, Russia
2008,Beijing, China, United States, Spain, Argentina
2004,Athens, Greece, Argentina, Italy, United States
2000,Sydney, Australia, United States, France, Lithuania
1996,Atlanta, United States, United States, Serbia and Montenegro, Lithuania
1992,Barcelona, Spain, United States, Croatia, Lithuania
1988,Seoul, South Korea, Soviet Union, Yugoslavia, United States
1984,Los Angeles, United States, United States, Spain, Yugoslavia
1980,Moscow, Russia, Yugoslavia, Italy, Soviet Union
1976,Montreal, Canada, United States, Yugoslavia, Soviet Union
1972,Munich, Germany, Soviet Union, United States, Cuba
1968,Mexico, City Mexico, United States, Yugoslavia, Soviet Union
1964,Tokyo, Japan, United States, Soviet Union, Brazil
1960,Rome, Italy, United States, Soviet Union, Brazil
1956,Melbourne, Australia, United States, Soviet Union, Uruguay
1952,Helsinki, Finland, United States, Soviet Union, Uruguay
1948,London, United Kingdom, United States, France, Brazil
1936,Berlin, Germany, United States, Canada, Mexico
