Year,City host,Country host,Gold,Silver,Bronze
2024,Paris,France, United States, France, Australia
2020,Tokyo,Japan, United States, Japan, France
2016,Rio de Janeiro,Brazil, United States, Spain, Serbia
2012,London, United Kingdom, United States, France, Australia
2008,Beijing, China, United States, Australia, Russia
2004,Athens, Greece, United States, Australia, Russia
2000,Sydney, Australia, United States, Australia, Brazil
1996,Atlanta, United States, United States, Brazil, Australia
1992,Barcelona, Spain, Unified, China, United States
1988,Seoul, South Korea, United States, Yugoslavia, Soviet Union
1984,Los Angeles, United States, United States, South Korea, China
1980,Moscow, Russia, Soviet Union, Bulgaria, Yugoslavia
1976,Montreal, Canada, Soviet Union, United States, Bulgaria
